#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1250	1000	1981615	1981615.000	148830	148830.000
1250	150	1981615	1981615.000	99339	99339.000
1250	300	1981615	1981615.000	98607	98607.000
1250	450	1981615	1981615.000	99350	99350.000
1250	600	1981615	1981615.000	99256	99256.000
1250	100	1981615	1981615.000	98834	98834.000
1250	250	1981615	1981615.000	99272	99272.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1250	925	1902944	1902944.000	148396	148396.000
1275	1000	1902944	1902944.000	149092	149092.000
1250	700	1902944	1902944.000	99165	99165.000
1250	850	1902944	1902944.000	145207	145207.000
1275	850	1902944	1902944.000	149509	149509.000
1250	875	1902944	1902944.000	136104	136104.000
1275	1050	1902944	1902944.000	149299	149299.000
1250	800	1902944	1902944.000	86426	86426.000
1250	950	1902944	1902944.000	147416	147416.000
1275	875	1902944	1902944.000	149774	149774.000
1250	975	1902944	1902944.000	149022	149022.000
1275	1025	1902944	1902944.000	150002	150002.000
1250	750	1902944	1902944.000	98786	98786.000
1250	900	1902944	1902944.000	144746	144746.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1275	975	599432	599432.000	149921	149921.000
1275	900	599432	599432.000	149852	149852.000
1275	950	599432	599432.000	149306	149306.000
1275	925	599432	599432.000	150353	150353.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1300	250	1965572	1965572.000	91310	91310.000
1300	300	1965572	1965572.000	98326	98326.000
1300	150	1965572	1965572.000	99717	99717.000
1300	600	1965572	1965572.000	99809	99809.000
1300	450	1965572	1965572.000	98399	98399.000
1300	500	1965572	1965572.000	100363	100363.000
1300	1025	1965572	1965572.000	148973	148973.000
1300	350	1965572	1965572.000	97604	97604.000
1300	0	1965572	1965572.000	98944	98944.000
1300	650	1965572	1965572.000	100225	100225.000
1300	550	1965572	1965572.000	100364	100364.000
1300	1075	1965572	1965572.000	150759	150759.000
1300	200	1965572	1965572.000	96697	96697.000
1300	1000	1965572	1965572.000	146605	146605.000
1300	50	1965572	1965572.000	94899	94899.000
1300	1050	1965572	1965572.000	148781	148781.000
1300	100	1965572	1965572.000	98710	98710.000
1300	400	1965572	1965572.000	95087	95087.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1325	1025	1909780	1909780.000	151086	151086.000
1325	1100	1909780	1909780.000	151197	151197.000
1300	950	1909780	1909780.000	150532	150532.000
1325	900	1909780	1909780.000	150591	150591.000
1325	1050	1909780	1909780.000	150817	150817.000
1300	800	1909780	1909780.000	100627	100627.000
1300	925	1909780	1909780.000	149998	149998.000
1300	700	1909780	1909780.000	100620	100620.000
1325	1000	1909780	1909780.000	151314	151314.000
1325	1075	1909780	1909780.000	151540	151540.000
1300	850	1909780	1909780.000	99792	99792.000
1300	975	1909780	1909780.000	150501	150501.000
1300	900	1909780	1909780.000	150467	150467.000
1300	750	1909780	1909780.000	100698	100698.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1325	950	1907544	1907544.000	135590	135590.000
1350	100	1907544	1907544.000	93839	93839.000
1350	1075	1907544	1907544.000	151041	151041.000
1350	1050	1907544	1907544.000	151913	151913.000
1350	200	1907544	1907544.000	101263	101263.000
1350	1100	1907544	1907544.000	139020	139020.000
1350	1025	1907544	1907544.000	151225	151225.000
1325	975	1907544	1907544.000	150780	150780.000
1350	0	1907544	1907544.000	99417	99417.000
1325	925	1907544	1907544.000	146361	146361.000
1350	150	1907544	1907544.000	95310	95310.000
1350	300	1907544	1907544.000	101191	101191.000
1350	250	1907544	1907544.000	96772	96772.000
1350	1125	1907544	1907544.000	149750	149750.000
1350	1000	1907544	1907544.000	144072	144072.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1350	900	1928452	1928452.000	101209	101209.000
1350	50	1928452	1928452.000	101115	101115.000
1375	1000	1928452	1928452.000	152589	152589.000
1350	550	1928452	1928452.000	101452	101452.000
1350	700	1928452	1928452.000	101998	101998.000
1350	650	1928452	1928452.000	101093	101093.000
1350	800	1928452	1928452.000	101626	101626.000
1350	350	1928452	1928452.000	101647	101647.000
1350	500	1928452	1928452.000	101248	101248.000
1350	450	1928452	1928452.000	101707	101707.000
1350	600	1928452	1928452.000	101841	101841.000
1350	850	1928452	1928452.000	101161	101161.000
1350	950	1928452	1928452.000	152354	152354.000
1375	1025	1928452	1928452.000	152754	152754.000
1350	975	1928452	1928452.000	151608	151608.000
1350	400	1928452	1928452.000	101686	101686.000
1350	750	1928452	1928452.000	101364	101364.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1375	1075	1057949	1057949.000	152874	152874.000
1375	1125	1057949	1057949.000	153283	153283.000
1375	975	1057949	1057949.000	140649	140649.000
1375	1050	1057949	1057949.000	152604	152604.000
1375	1100	1057949	1057949.000	153318	153318.000
1375	950	1057949	1057949.000	152493	152493.000
1375	1150	1057949	1057949.000	152728	152728.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1400	350	2052880	2052880.000	102607	102607.000
1400	1075	2052880	2052880.000	154066	154066.000
1400	200	2052880	2052880.000	102776	102776.000
1400	1150	2052880	2052880.000	154107	154107.000
1400	400	2052880	2052880.000	102571	102571.000
1400	1125	2052880	2052880.000	154083	154083.000
1400	250	2052880	2052880.000	102587	102587.000
1400	100	2052880	2052880.000	102774	102774.000
1400	1000	2052880	2052880.000	153545	153545.000
1400	1175	2052880	2052880.000	154034	154034.000
1400	300	2052880	2052880.000	102966	102966.000
1400	1025	2052880	2052880.000	153793	153793.000
1400	150	2052880	2052880.000	102531	102531.000
1400	0	2052880	2052880.000	102885	102885.000
1400	1100	2052880	2052880.000	154011	154011.000
1400	1050	2052880	2052880.000	153544	153544.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1425	1000	1997487	1997487.000	154832	154832.000
1425	1075	1997487	1997487.000	154979	154979.000
1400	50	1997487	1997487.000	102589	102589.000
1400	850	1997487	1997487.000	98059	98059.000
1400	700	1997487	1997487.000	102175	102175.000
1400	550	1997487	1997487.000	102827	102827.000
1425	1025	1997487	1997487.000	155567	155567.000
1400	900	1997487	1997487.000	98107	98107.000
1400	750	1997487	1997487.000	102290	102290.000
1400	600	1997487	1997487.000	102201	102201.000
1400	450	1997487	1997487.000	103130	103130.000
1425	1100	1997487	1997487.000	155304	155304.000
1425	1050	1997487	1997487.000	155099	155099.000
1400	950	1997487	1997487.000	102901	102901.000
1400	800	1997487	1997487.000	102168	102168.000
1400	650	1997487	1997487.000	102706	102706.000
1400	500	1997487	1997487.000	102553	102553.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1425	1125	2061506	2061506.000	154730	154730.000
1450	1125	2061506	2061506.000	155599	155599.000
1450	1150	2061506	2061506.000	156007	156007.000
1450	100	2061506	2061506.000	103629	103629.000
1450	200	2061506	2061506.000	100273	100273.000
1450	1075	2061506	2061506.000	155853	155853.000
1450	1050	2061506	2061506.000	155856	155856.000
1425	1150	2061506	2061506.000	151395	151395.000
1450	1100	2061506	2061506.000	152865	152865.000
1450	1200	2061506	2061506.000	156171	156171.000
1425	1175	2061506	2061506.000	151568	151568.000
1450	1175	2061506	2061506.000	155790	155790.000
1450	0	2061506	2061506.000	104036	104036.000
1450	150	2061506	2061506.000	103974	103974.000
1450	1000	2061506	2061506.000	103760	103760.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1475	1075	1945371	1945371.000	152041	152041.000
1450	350	1945371	1945371.000	99184	99184.000
1450	900	1945371	1945371.000	99847	99847.000
1450	650	1945371	1945371.000	104215	104215.000
1450	400	1945371	1945371.000	104113	104113.000
1450	550	1945371	1945371.000	104250	104250.000
1450	300	1945371	1945371.000	103929	103929.000
1450	50	1945371	1945371.000	99238	99238.000
1450	950	1945371	1945371.000	99266	99266.000
1450	600	1945371	1945371.000	94433	94433.000
1450	750	1945371	1945371.000	104160	104160.000
1450	500	1945371	1945371.000	104218	104218.000
1450	250	1945371	1945371.000	104376	104376.000
1450	800	1945371	1945371.000	103861	103861.000
1475	1050	1945371	1945371.000	156478	156478.000
1450	850	1945371	1945371.000	103995	103995.000
1450	700	1945371	1945371.000	104023	104023.000
1450	450	1945371	1945371.000	103744	103744.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1500	1125	2101388	2101388.000	157926	157926.000
1500	100	2101388	2101388.000	105596	105596.000
1475	1100	2101388	2101388.000	157169	157169.000
1500	1150	2101388	2101388.000	158042	158042.000
1500	1200	2101388	2101388.000	157569	157569.000
1475	1175	2101388	2101388.000	156487	156487.000
1500	1175	2101388	2101388.000	158086	158086.000
1500	150	2101388	2101388.000	105414	105414.000
1475	1150	2101388	2101388.000	157221	157221.000
1500	1000	2101388	2101388.000	105062	105062.000
1500	1250	2101388	2101388.000	157720	157720.000
1500	0	2101388	2101388.000	105005	105005.000
1500	1050	2101388	2101388.000	105129	105129.000
1500	1100	2101388	2101388.000	158508	158508.000
1475	1125	2101388	2101388.000	156454	156454.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1500	50	2102187	2102187.000	105271	105271.000
1500	900	2102187	2102187.000	104866	104866.000
1525	1125	2102187	2102187.000	158543	158543.000
1500	350	2102187	2102187.000	104945	104945.000
1500	400	2102187	2102187.000	105116	105116.000
1500	650	2102187	2102187.000	104995	104995.000
1500	700	2102187	2102187.000	105050	105050.000
1500	950	2102187	2102187.000	101741	101741.000
1500	200	2102187	2102187.000	104843	104843.000
1500	850	2102187	2102187.000	105242	105242.000
1500	450	2102187	2102187.000	105866	105866.000
1500	500	2102187	2102187.000	105075	105075.000
1500	750	2102187	2102187.000	105315	105315.000
1500	800	2102187	2102187.000	105642	105642.000
1500	250	2102187	2102187.000	105230	105230.000
1525	1100	2102187	2102187.000	158816	158816.000
1500	300	2102187	2102187.000	105046	105046.000
1500	550	2102187	2102187.000	105336	105336.000
1500	600	2102187	2102187.000	105249	105249.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1550	1200	2076267	2076267.000	159514	159514.000
1550	1100	2076267	2076267.000	106988	106988.000
1550	100	2076267	2076267.000	106884	106884.000
1525	1175	2076267	2076267.000	159078	159078.000
1550	1150	2076267	2076267.000	159913	159913.000
1550	1000	2076267	2076267.000	106761	106761.000
1525	1150	2076267	2076267.000	159104	159104.000
1550	300	2076267	2076267.000	105964	105964.000
1550	250	2076267	2076267.000	106604	106604.000
1550	0	2076267	2076267.000	106643	106643.000
1550	1050	2076267	2076267.000	106843	106843.000
1550	1300	2076267	2076267.000	159380	159380.000
1550	1250	2076267	2076267.000	160280	160280.000
1550	1175	2076267	2076267.000	159444	159444.000
1550	200	2076267	2076267.000	106532	106532.000
1550	150	2076267	2076267.000	106335	106335.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1550	700	1815517	1815517.000	106229	106229.000
1550	650	1815517	1815517.000	106656	106656.000
1550	400	1815517	1815517.000	106507	106507.000
1550	350	1815517	1815517.000	106960	106960.000
1550	900	1815517	1815517.000	106525	106525.000
1550	50	1815517	1815517.000	106664	106664.000
1550	600	1815517	1815517.000	106866	106866.000
1550	550	1815517	1815517.000	106648	106648.000
1575	1150	1815517	1815517.000	161733	161733.000
1550	950	1815517	1815517.000	106059	106059.000
1550	800	1815517	1815517.000	107057	107057.000
1550	750	1815517	1815517.000	106209	106209.000
1550	500	1815517	1815517.000	106310	106310.000
1550	450	1815517	1815517.000	106842	106842.000
1575	1175	1815517	1815517.000	161118	161118.000
1550	850	1815517	1815517.000	107134	107134.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1600	150	2166990	2166990.000	54165	54165.000
1600	0	2166990	2166990.000	54068	54068.000
1600	550	2166990	2166990.000	54107	54107.000
1600	100	2166990	2166990.000	53985	53985.000
1650	1050	2166990	2166990.000	54688	54688.000
1600	1050	2166990	2166990.000	54052	54052.000
1600	600	2166990	2166990.000	53989	53989.000
1650	0	2166990	2166990.000	55147	55147.000
1600	1200	2166990	2166990.000	162589	162589.000
1600	1150	2166990	2166990.000	53994	53994.000
1600	1000	2166990	2166990.000	54038	54038.000
1600	700	2166990	2166990.000	54176	54176.000
1600	250	2166990	2166990.000	54049	54049.000
1600	1300	2166990	2166990.000	162443	162443.000
1600	850	2166990	2166990.000	53817	53817.000
1600	1100	2166990	2166990.000	54081	54081.000
1600	400	2166990	2166990.000	54133	54133.000
1600	650	2166990	2166990.000	54154	54154.000
1600	350	2166990	2166990.000	54368	54368.000
1600	200	2166990	2166990.000	53750	53750.000
1600	1250	2166990	2166990.000	162339	162339.000
1600	950	2166990	2166990.000	54431	54431.000
1600	800	2166990	2166990.000	54053	54053.000
1650	1000	2166990	2166990.000	54742	54742.000
1600	500	2166990	2166990.000	54030	54030.000
1600	750	2166990	2166990.000	54400	54400.000
1600	50	2166990	2166990.000	54483	54483.000
1650	100	2166990	2166990.000	54792	54792.000
1600	300	2166990	2166990.000	53863	53863.000
1600	1350	2166990	2166990.000	162126	162126.000
1600	900	2166990	2166990.000	53858	53858.000
1600	450	2166990	2166990.000	54080	54080.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1650	800	2160839	2160839.000	54490	54490.000
1650	950	2160839	2160839.000	54640	54640.000
1650	1250	2160839	2160839.000	164138	164138.000
1650	1400	2160839	2160839.000	164620	164620.000
1700	1200	2160839	2160839.000	51904	51904.000
1650	400	2160839	2160839.000	51262	51262.000
1650	850	2160839	2160839.000	54970	54970.000
1650	1300	2160839	2160839.000	160426	160426.000
1650	300	2160839	2160839.000	54849	54849.000
1650	750	2160839	2160839.000	51320	51320.000
1650	1200	2160839	2160839.000	54747	54747.000
1700	1100	2160839	2160839.000	55748	55748.000
1650	200	2160839	2160839.000	54936	54936.000
1650	350	2160839	2160839.000	54804	54804.000
1650	650	2160839	2160839.000	54783	54783.000
1650	1100	2160839	2160839.000	54586	54586.000
1650	250	2160839	2160839.000	54725	54725.000
1650	550	2160839	2160839.000	51125	51125.000
1650	700	2160839	2160839.000	54914	54914.000
1650	1150	2160839	2160839.000	54871	54871.000
1650	150	2160839	2160839.000	47741	47741.000
1650	450	2160839	2160839.000	54576	54576.000
1650	600	2160839	2160839.000	54634	54634.000
1700	1050	2160839	2160839.000	52013	52013.000
1650	900	2160839	2160839.000	54653	54653.000
1700	1150	2160839	2160839.000	56022	56022.000
1700	1000	2160839	2160839.000	55652	55652.000
1650	1350	2160839	2160839.000	164550	164550.000
1650	50	2160839	2160839.000	54782	54782.000
1700	100	2160839	2160839.000	55465	55465.000
1700	0	2160839	2160839.000	48676	48676.000
1650	500	2160839	2160839.000	54217	54217.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1700	1450	2223598	2223598.000	166605	166605.000
1700	700	2223598	2223598.000	55579	55579.000
1750	1200	2223598	2223598.000	56282	56282.000
1750	1250	2223598	2223598.000	56169	56169.000
1750	1000	2223598	2223598.000	56295	56295.000
1700	600	2223598	2223598.000	55534	55534.000
1750	0	2223598	2223598.000	56312	56312.000
1750	1150	2223598	2223598.000	56599	56599.000
1700	550	2223598	2223598.000	55514	55514.000
1750	100	2223598	2223598.000	56247	56247.000
1700	150	2223598	2223598.000	55604	55604.000
1700	1400	2223598	2223598.000	166727	166727.000
1700	450	2223598	2223598.000	55441	55441.000
1750	1050	2223598	2223598.000	56185	56185.000
1700	1350	2223598	2223598.000	166496	166496.000
1750	1300	2223598	2223598.000	56120	56120.000
1700	50	2223598	2223598.000	55393	55393.000
1700	900	2223598	2223598.000	51718	51718.000
1700	750	2223598	2223598.000	55622	55622.000
1700	300	2223598	2223598.000	55490	55490.000
1700	950	2223598	2223598.000	55485	55485.000
1700	1250	2223598	2223598.000	55567	55567.000
1700	500	2223598	2223598.000	55388	55388.000
1700	350	2223598	2223598.000	55437	55437.000
1700	800	2223598	2223598.000	55478	55478.000
1700	650	2223598	2223598.000	55686	55686.000
1700	200	2223598	2223598.000	55556	55556.000
1700	850	2223598	2223598.000	55412	55412.000
1700	400	2223598	2223598.000	55259	55259.000
1700	250	2223598	2223598.000	55422	55422.000
1750	1100	2223598	2223598.000	56453	56453.000
1700	1300	2223598	2223598.000	166523	166523.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1750	500	1517161	1517161.000	56279	56279.000
1750	450	1517161	1517161.000	56050	56050.000
1750	600	1517161	1517161.000	56099	56099.000
1750	150	1517161	1517161.000	56046	56046.000
1750	1350	1517161	1517161.000	169044	169044.000
1750	300	1517161	1517161.000	56111	56111.000
1750	1400	1517161	1517161.000	168569	168569.000
1750	250	1517161	1517161.000	55986	55986.000
1750	1450	1517161	1517161.000	168912	168912.000
1750	400	1517161	1517161.000	56311	56311.000
1750	750	1517161	1517161.000	56181	56181.000
1750	900	1517161	1517161.000	56220	56220.000
1750	50	1517161	1517161.000	56103	56103.000
1750	850	1517161	1517161.000	56081	56081.000
1750	200	1517161	1517161.000	56006	56006.000
1750	950	1517161	1517161.000	56127	56127.000
1750	550	1517161	1517161.000	56185	56185.000
1750	700	1517161	1517161.000	56174	56174.000
1750	650	1517161	1517161.000	56300	56300.000
1750	800	1517161	1517161.000	56437	56437.000
1750	350	1517161	1517161.000	55940	55940.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1800	750	2286622	2286622.000	57157	57157.000
1800	1400	2286622	2286622.000	170987	170987.000
1800	450	2286622	2286622.000	57072	57072.000
1800	300	2286622	2286622.000	57364	57364.000
1800	950	2286622	2286622.000	56544	56544.000
1800	0	2286622	2286622.000	56738	56738.000
1800	500	2286622	2286622.000	57189	57189.000
1800	350	2286622	2286622.000	57149	57149.000
1800	50	2286622	2286622.000	57167	57167.000
1850	1100	2286622	2286622.000	57697	57697.000
1800	1250	2286622	2286622.000	56750	56750.000
1800	1100	2286622	2286622.000	57085	57085.000
1800	800	2286622	2286622.000	57178	57178.000
1800	650	2286622	2286622.000	57272	57272.000
1800	1300	2286622	2286622.000	57066	57066.000
1800	1150	2286622	2286622.000	57058	57058.000
1800	200	2286622	2286622.000	57122	57122.000
1800	850	2286622	2286622.000	56863	56863.000
1800	700	2286622	2286622.000	57243	57243.000
1850	1000	2286622	2286622.000	58037	58037.000
1800	400	2286622	2286622.000	57225	57225.000
1800	250	2286622	2286622.000	57053	57053.000
1800	1450	2286622	2286622.000	171042	171042.000
1800	1000	2286622	2286622.000	57155	57155.000
1850	100	2286622	2286622.000	57953	57953.000
1800	550	2286622	2286622.000	57152	57152.000
1800	1200	2286622	2286622.000	57060	57060.000
1800	1050	2286622	2286622.000	57058	57058.000
1800	100	2286622	2286622.000	56888	56888.000
1800	600	2286622	2286622.000	57259	57259.000
1850	1050	2286622	2286622.000	57871	57871.000
1800	150	2286622	2286622.000	57039	57039.000
1850	1150	2286622	2286622.000	57544	57544.000
1850	0	2286622	2286622.000	57806	57806.000
1800	1350	2286622	2286622.000	56784	56784.000
1800	900	2286622	2286622.000	56995	56995.000
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1850	1400	2307681	2307681.000	57782	57782.000
1850	750	2307681	2307681.000	56115	56115.000
1850	800	2307681	2307681.000	57574	57574.000
1850	150	2307681	2307681.000	57891	57891.000
1850	1250	2307681	2307681.000	57866	57866.000
1850	200	2307681	2307681.000	57996	57996.000
